Propertyname_name,Propertyname_address,Propertyname_address_url,Propertyname_price,Propertyname_price_url,Propertyname_Name,Propertyname_location,Propertyname_description,Bathroom(s),Bedroom(s),Built-up area,Built-up price,Car Parks,Land area,Land area price,Lot type,Property type,Bedroom(s)_clean,Price_clean,Bathroom(s)_clean,Builtup_area_clean,CarParks_clean,state,city,state_score,city_multiplier,location_score,Price_capped,Builtup_area_capped,CarParks_capped,location_score_capped,price_per_sqft
10 Island Resort,"Jalan Batu Ferringghi, 11200, Penang, Batu Ferringhi, Penang",https://www.edgeprop.my/listing/sale/3409695/penang/batu_ferringhi/landed/linkbungalow-semidetachedhouse/10-island-resort-semi-d-house-3800sqft-fully-seaview-unit-batu-ferringhi-for-sale,"2,880,000",https://www.edgeprop.my/listing/sale/3409695/penang/batu_ferringhi/landed/linkbungalow-semidetachedhouse/10-island-resort-semi-d-house-3800sqft-fully-seaview-unit-batu-ferringhi-for-sale,10 Island Resort Semi- D House 3800sqft & Fully Seaview Unit @ Batu Ferringhi [ FOR SALE ],"10 Island Resort, Batu Ferringhi, Penang","The Property Located at ISLAND RESORT, BATU FERRINGHI, PENANG
10 Island Resort Semi D Villa Private pool Seaview Batu Ferringhi
- Land Area : 2,500 Sqft
- Build Up : 3,800 sqft
- Free...",6 B,4 + 1 BR,"3,800 sqft",RM 757/sqft,,,,,Link Bungalow / Semi-Detached,5.0,2880000.0,6.0,3800.0,2.0,Penang,Batu Ferringhi,0.95,0.8,0.76,2880000.0,3800.0,2.0,0.76,757.8947368421053
ALAM PUTERI (PRINCESS HEIGHT),"ROW B6, LOT 31, JALAN TELUK SEPANGGAR, ALAM PUTERI (PRINCESS HEIGHT), Pantai Barat Selatan, Sabah",https://www.edgeprop.my/listing/sale/3359523/sabah/kota_kinabalu/landed/terracehouse/taman-alam-puteri-princess-height-2-1-2-terrace-house-well-renovated-fully-furnished-sepanggar-menggatal,"950,000",https://www.edgeprop.my/listing/sale/3359523/sabah/kota_kinabalu/landed/terracehouse/taman-alam-puteri-princess-height-2-1-2-terrace-house-well-renovated-fully-furnished-sepanggar-menggatal,Taman Alam Puteri (Princess Height) | 2 1/2 Terrace House | Well Renovated | Fully Furnished | Sepanggar Menggatal,"ALAM PUTERI (PRINCESS HEIGHT), Pantai Barat Selatan, Sabah","For Sale
- Taman Alam Puteri (Princess Height)
- 2.5 Storey Terrace House
- Intermediate Lot
- LA: 2,158sqft /BUA: 3,000sqft
- 4 Bedrooms + 3 Bathrooms
- Can park up to 4...",3 B,4 BR,"3,000 sqft",RM 316/sqft,2 Car Parks,,,Bumi Lot,Terrace House,4.0,950000.0,3.0,3000.0,2.0,Sabah,Pantai Barat Selatan,0.85,0.8,0.68,950000.0,3000.0,2.0,0.7,316.6666666666667
ARA SENDAYAN @ BANDAR SRI SENDAYAN,"710, JALAN ARA SENDAYAN 3/7, ARA SENDAYAN @ BANDAR SRI SENDAYAN, Seremban, Negeri Sembilan",https://www.edgeprop.my/listing/sale/3384243/negeri_sembilan/seremban/landed/terracehouse/end-lot-sendayan-house,"640,000",https://www.edgeprop.my/listing/sale/3384243/negeri_sembilan/seremban/landed/terracehouse/end-lot-sendayan-house,End Lot Sendayan House,"ARA SENDAYAN @ BANDAR SRI SENDAYAN, Seremban, Negeri Sembilan","LIMITED Unit!!!
Rare Offer
Selling RM640,000
End Lot Double Storey House
Ara Sendayan, Gated & Guarded
Freehold, Non Bumi
4 Bedrooms, 4 Bathrooms
Land size 35X70/2626sqft
Build Up 2300sqft
Contact Now Kim 01110722869
Before Sell Off",4 B,4 + 1 BR,"2,300 sqft",RM 278/sqft,,,,Non Bumi Lot,Terrace House,5.0,640000.0,4.0,2300.0,2.0,Negeri Sembilan,Seremban,0.9,0.9,0.81,640000.0,2300.0,2.0,0.81,278.2608695652174
Acacia Park @ Bandar Tasik Puteri,"Jalan Puteri, Rawang, Selangor",https://www.edgeprop.my/listing/sale/3422444/selangor/rawang/landed/terracehouse/double-storey-terrace-house-at-acacia-park-bandar-tasik-puteri-rawang-selangor-for-sale,"430,000",https://www.edgeprop.my/listing/sale/3422444/selangor/rawang/landed/terracehouse/double-storey-terrace-house-at-acacia-park-bandar-tasik-puteri-rawang-selangor-for-sale,Double Storey Terrace House at Acacia Park Bandar Tasik Puteri Rawang Selangor For Sale,"Acacia Park @ Bandar Tasik Puteri, Rawang, Selangor","For viewing, kindly contact EUGENE at 012-226 1188.
Don’t miss this opportunity to own a well-maintained 2-storey terrace home in the peaceful, gated Acacia Park Phase 1 community. Ideal for families or smart investors!
📌 Property Details:
Land Area: 18' x 80'
Built-Up: approx. 1660s...",3 B,4 BR,"1,660 sqft",RM 259/sqft,,,,Non Bumi Lot,Terrace House,4.0,430000.0,3.0,1660.0,2.0,Selangor,Rawang,0.95,0.8,0.76,430000.0,1660.0,2.0,0.76,259.03614457831327
Anggun Kirana,"Persiaran Setia Perdana, Setia Alam/Alam Nusantara, Selangor",https://www.edgeprop.my/listing/sale/3439883/selangor/setia_alam/alam_nusantara/landed/terracehouse/3-storey-superlink-terrace-anggun-kirana-setia-alam-shah-alam,"1,950,000",https://www.edgeprop.my/listing/sale/3439883/selangor/setia_alam/alam_nusantara/landed/terracehouse/3-storey-superlink-terrace-anggun-kirana-setia-alam-shah-alam,"3-STOREY SUPERLINK TERRACE ANGGUN KIRANA, SETIA ALAM SHAH ALAM","Anggun Kirana, Setia Alam/Alam Nusantara, Selangor","FOR SALE
3-STOREY SUPERLINK TERRACE ANGGUN KIRANA, SETIA ALAM SHAH ALAM
TIP-TOP & MOVE IN CONDITION
FULLY FURNISHED
ASKING PRICE : RM 1,950...",7 B,6 BR,"4,248 sqft",RM 459/sqft,4 Car Parks,,,Bumi Lot,Terrace House,6.0,1950000.0,7.0,4248.0,4.0,Selangor,Setia Alam/Alam Nusantara,0.95,0.8,0.76,1950000.0,4248.0,4.0,0.76,459.03954802259886
Ascott Hill,"Jalan BRP 2/1i, Bukit Rahman Putra, Bukit Rahman Putra, Selangor",https://www.edgeprop.my/listing/sale/3439474/selangor/bukit_rahman_putra/landed/linkbungalow-semidetachedhouse/ascott-hill-bukit-rahman-putra-2.5-storey-semi-d-cluster-house-for-sale-facing-playground,"920,000",https://www.edgeprop.my/listing/sale/3439474/selangor/bukit_rahman_putra/landed/linkbungalow-semidetachedhouse/ascott-hill-bukit-rahman-putra-2.5-storey-semi-d-cluster-house-for-sale-facing-playground,"Ascott Hill Bukit Rahman Putra, 2.5-Storey Semi-D Cluster House For Sale [FACING PLAYGROUND]","Ascott Hill, Bukit Rahman Putra, Selangor","ASCOTT HILL RESIDENCES, BUKIT RAHMAN PUTRA, SUNGAI BULOH [FACING PLAYGROUND] SEMI-D 2.5 STOREY CLUSTER HOUSE FOR SALE !
PROPERTY DETAILS
==================
● FREEHOLD
● Non Bumi Lot
● Land Size: 32 x 60 ...",4 B,5 + 1 BR,"2,300 sqft",RM 400/sqft,,,,Non Bumi Lot,Link Bungalow / Semi-Detached,6.0,920000.0,4.0,2300.0,2.0,Selangor,Bukit Rahman Putra,0.95,0.8,0.76,920000.0,2300.0,2.0,0.76,400.0
Aspira ParkHomes @ Gelang Patah,"Johor, Gelang Patah, Johor",https://www.edgeprop.my/listing/sale/3327456/johor/gelang_patah/landed/terracehouse/aspira-parkhomes-gerbang-nusajaya-double-storey-terrace-house-brand-new-unit-for-sale,"900,000",https://www.edgeprop.my/listing/sale/3327456/johor/gelang_patah/landed/terracehouse/aspira-parkhomes-gerbang-nusajaya-double-storey-terrace-house-brand-new-unit-for-sale,Aspira ParkHomes @ Gerbang Nusajaya Double Storey Terrace House Brand New Unit For Sale,"Aspira ParkHomes @ Gelang Patah, Gelang Patah, Johor","Aspira ParkHomes @ Gerbang Nusajaya Double Storey Terrace House Brand New Unit For Sale
For Sale
Aspira ParkHomes @ Gerbang Nusajaya 高鐵麗景園
2-Storey Terrace House 双层排楼
Brand...",3 B,4 BR,- sqft,RM -,,,,Non Bumi Lot,Terrace House,4.0,900000.0,3.0,2207.0,2.0,Johor,Gelang Patah,0.9,0.8,0.7200000000000001,900000.0,2207.0,2.0,0.7200000000000001,407.79338468509286
Aston Park East (Taman Aston),"Lebuh Aston, Bukit Mertajam, Penang",https://www.edgeprop.my/listing/sale/2531282/penang/bukit_mertajam/landed/terracehouse/taman-aston-2-storey-terrace-house-for-sale-new-bukit-mertajam,"688,000",https://www.edgeprop.my/listing/sale/2531282/penang/bukit_mertajam/landed/terracehouse/taman-aston-2-storey-terrace-house-for-sale-new-bukit-mertajam,Taman Aston 2 Storey Terrace House for Sale@ New Bukit Mertajam,"Aston Park East (Taman Aston), Bukit Mertajam, Penang","Taman Aston 2 Storey Terrace House for Sale@ New Bukit Mertajam
- Land Area: 1400 sqft (20X70)
- Built-up Area: 1680 sqft (20x42)
- Bedroom : 4
- Bathrooms : 3
- Fr...",4 B,4 BR,"1,680 sqft",RM 409/sqft,2 Car Parks,,,Non Bumi Lot,Terrace House,4.0,688000.0,4.0,1680.0,2.0,Penang,Bukit Mertajam,0.95,0.8,0.76,688000.0,1680.0,2.0,0.76,409.5238095238095
Austin Crest,"Johor Bahru, Johor",https://www.edgeprop.my/listing/sale/3332877/johor/johor_bahru/landed/terracehouse/austin-crest,"899,999",https://www.edgeprop.my/listing/sale/3332877/johor/johor_bahru/landed/terracehouse/austin-crest,Austin Crest,"Johor Bahru, Johor","Austin Crest 综合发展项目🔥🔥🔥🔥
🚀【新山成熟华人区：全能 Township 来了 🎉 排楼公寓店面热售中，投资自住优选 ✅ 高回报+黄金地段+生活便利！】🚀
🏡 𝗔𝘂𝘀𝘁𝗶𝗻 𝗖𝗿𝗲𝘀𝘁 - 高级住宅区
✨ 高地势高，低密度，仅有 𝟭𝟮𝟴 间单位！
✨ 𝗖𝗹𝘂𝘀𝘁𝗲𝗿 32’ x75’ | 𝗦𝗲𝗺𝗶-𝗗 40’ x...",4 B,4 BR,- sqft,RM -,,,,Non Bumi Lot,Terrace House,4.0,899999.0,4.0,2207.0,2.0,Johor,Johor Bahru,0.9,0.9,0.81,899999.0,2207.0,2.0,0.81,407.79293158133214
Bandar Baru Nilai,"Bandar Baru Nilai, Nilai, Negeri Sembilan",https://www.edgeprop.my/listing/sale/3429962/negeri_sembilan/nilai/landed/linkbungalow-semidetachedhouse/single-storey-semi-d-house-bandar-baru-nilai,"650,000",https://www.edgeprop.my/listing/sale/3429962/negeri_sembilan/nilai/landed/linkbungalow-semidetachedhouse/single-storey-semi-d-house-bandar-baru-nilai,Single Storey Semi D House Bandar Baru Nilai,"Bandar Baru Nilai, Nilai, Negeri Sembilan","Starting From RM650,000
Semi D Rumah di Bandar Baru Nilai
Limited Unit Only!!!
Tanah Luas: 37’x97’/ 3,589sqft
Build Up 1,585sqft
4 Bilik, 2 Tandas
Free Legal Fee, Free MOT & Disburseme...",2 B,4 + 1 BR,"1,585 sqft",RM 410/sqft,4 Car Parks,,,,Link Bungalow / Semi-Detached,5.0,650000.0,2.0,1585.0,4.0,Negeri Sembilan,Nilai,0.9,0.8,0.7200000000000001,650000.0,1585.0,4.0,0.7200000000000001,410.09463722397476
