Propertyname_name,Propertyname_address,Propertyname_price,Propertyname_Name,Propertyname_location,Propertyname_description,Propertyname_imageurl,Bathroom(s),Bedroom(s),Built-up area,Built-up price,Car Parks,Lot type,Property type,price_per_sqft
ARC Austin Hill,"T, Johor Bahru, Johor",1600.0,ARC Austin Hill,"Arc Austin Hill, Johor Bahru, Johor","For Rent
- ARC @ Austin Hill
- ⁠Taman Daya, Taman Mount Austin
- 3 bedrooms 2 bathroom
- 900 sqft
- Partially furnished : Air Cond × 4, Heater × 2
- 1 ca...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDA3MDhfMTc0OTA5OTE2OF81RWRnUHJvNV9yZW50a2ltXzAucG5nIiwidmVyc2lvbiI6IjEiLCJlZGl0cyI6eyJyZXNpemUiOnsiZml0Ijoib3V0c2lkZSIsImhlaWdodCI6NzIwfSwiVEVQV2F0ZXJtYXJrIjp7Im9wdGlvbnMiOnsibmFtZSI6IktJTSBTSU0iLCJncmF2aXR5Ijoic291dGhlYXN0In19fX0=,2.0,3.0,900.0,RM 1/sqft,2.0,,condominium,1.7777777777777777
Adria Residence @ Gravit8,"Jalan Bayu Laut 1/KS 09, Kota Bayu Emas, 41200, Selangor, Klang, Selangor",1650.0,Adria Residence @ Gravit8,"Adria Residence @ Gravit8, Klang, Selangor","Adria Gravit 8
Kota Bayuemas, Klang
For Rent at only RM 1,650 / month
About the unit:
* Basic Unit
* Newly Painted
* Water Heater
* Kitchen Tabletop with Kitchen Cabinet
* Hood and Hob",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDU0ODdfMTc0ODkxMjgwOF81RWRnUHJvNV93aGF0c2FwcGltYWdlMjAyNTA1MzFhdDQuMDIuMjhwbTFfMC5qcGVnIiwidmVyc2lvbiI6IjEiLCJlZGl0cyI6eyJyZXNpemUiOnsiZml0Ijoib3V0c2lkZSIsImhlaWdodCI6NzIwfSwiVEVQV2F0ZXJtYXJrIjp7Im9wdGlvbnMiOnsibmFtZSI6IkxZTk4gTElNICIsImdyYXZpdHkiOiJzb3V0aGVhc3QifX19fQ==,2.0,3.0,890.0,RM 1/sqft,2.0,,condominium,1.853932584269663
Ambang Botanic 2,"Port Klang, Selangor",9000.0,"Ambang Botanic 2, Klang","Ambang Botanic 2, Port Klang, Selangor","Fully Furnished 全家具 半独立别墅🏡3 Storey Semi-D Ambang Botanic 2 Klang For Rent
Semi-D
7 BEDROOM 6 BATHROOM
FULLY FURNITURE
GOOD CONDITION
KITCHEN CA...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8zNTgwMF8xNzQ5MjAxNzcwXzVFZGdQcm81XzMyMjZiM2YwNmNiMTQ5OTQ4M2NjMDY0YTBjMTUzY2IyXzAuanBnIiwidmVyc2lvbiI6IjEiLCJlZGl0cyI6eyJyZXNpemUiOnsiZml0Ijoib3V0c2lkZSIsImhlaWdodCI6NzIwfSwiVEVQV2F0ZXJtYXJrIjp7Im9wdGlvbnMiOnsibmFtZSI6IlZJQ1RPUiBDSEVJICIsImdyYXZpdHkiOiJzb3V0aGVhc3QifX19fQ==,6.0,7.0,1555.224852071006,RM -,2.0,,link bungalow / semi-detached,5.786944561755944
Amber Residence @ twentyfive.7,"Persiaran Oleander, 42500, Selangor, Kota Kemuning, Selangor",1400.0,Amber Residence @ twentyfive.7,"Amber Residence @ Twentyfive.7, Kota Kemuning, Selangor","The Amber Residences @ Gamuda 25-7 - RM1400/mth
# 657sf
# 2 rooms & 1 bathroom
# partly furnished:
- built in kitchen cabinet c/w hob&hood
- built in war...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC9zdHlsZXNcLzU3MDc5XzE3NDgwNjU4OTZfNUVkZ1BybzVfNTcwNzlfMTcwODQ4NTE1MF81ZWRncHJvNV96MV8wLmpwZyIsInZlcnNpb24iOiIxIiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6Im91dHNpZGUiLCJoZWlnaHQiOjcyMH0sIlRFUFdhdGVybWFyayI6eyJvcHRpb25zIjp7Im5hbWUiOiJNSUNIRUxMRSBMRUUgICIsImdyYXZpdHkiOiJzb3V0aGVhc3QifX19fQ==,1.0,2.0,657.0,RM 2/sqft,2.0,,condominium,2.13089802130898
Amberside Country Garden @ Danga Bay,"Jalan Bertingkat Skudai, 80200, Johor, Johor Bahru, Johor",2500.0,Amberside Country Garden @ Danga Bay,"Amberside Country Garden @ Danga Bay, Johor Bahru, Johor","For rent
Amberside @ Country Garden, Danga Bay
- built up area ~ 800 sf
- 2 bedrooms
- 2 bathrooms
- fully furnished
- level 15
- partial seaview
Renting RM 2.5K
Terrence Loh
016-7023183
REN24130",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDUzNzRfMTc0MTg0MTc3N181RWRnUHJvNV9pbWcyMDI1MDMxMXdhMDE0N18wLmpwZyIsInZlcnNpb24iOiIxIiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6Im91dHNpZGUiLCJoZWlnaHQiOjcyMH0sIlRFUFdhdGVybWFyayI6eyJvcHRpb25zIjp7Im5hbWUiOiJURVJSRU5DRSBMT0giLCJncmF2aXR5Ijoic291dGhlYXN0In19fX0=,2.0,2.0,800.0,RM 3/sqft,2.0,non bumi lot,condominium,3.125
Amberside Country Garden @ Danga Bay,"Jalan Bertingkat Skudai, 80200, Johor, Johor Bahru, Johor",3200.0,Amberside Country Garden @ Danga Bay,"Amberside Country Garden @ Danga Bay, Johor Bahru, Johor","✨For RENT✨
美美的单位😍海景房
Address :#Amberside# Country Garden Danga Bay
Type :Apartment
Tenure :Freehold
Bedroom: 3
Bathroom: 3
Built up:1238sqft
Furnishing: Fully Furnished
Direction: Southwest
High Floor
G&G: Yes
Car park:1
Rental Rm3200
Deposit: 2+1+0.5",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDY3MDdfMTc0OTE5NjEzNF81RWRnUHJvNV9waG90bzIwMjUwNjA2MTUzMTIyMl8wLmpwZWciLCJ2ZXJzaW9uIjoiMSIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJvdXRzaWRlIiwiaGVpZ2h0Ijo3MjB9LCJURVBXYXRlcm1hcmsiOnsib3B0aW9ucyI6eyJuYW1lIjoiU1RFTExBIE5BUklUQSIsImdyYXZpdHkiOiJzb3V0aGVhc3QifX19fQ==,3.0,3.0,1238.0,RM 2/sqft,1.0,non bumi lot,condominium,2.5848142164781907
Amberside Country Garden @ Danga Bay,"Jalan Bertingkat Skudai, 80200, Johor, Johor Bahru, Johor",1350.0,Amberside Country Garden @ Danga Bay,"Amberside Country Garden @ Danga Bay, Johor Bahru, Johor","For Rent (DA2827)
Amberside @ Country Garden Danga Bay 房间出租
房产类型：非有地住宅
家具：全装修
种族：C 型
宠物：否
吸烟：否
备注：包含无线网络、净水器、水电费
租金：
主卧 - RM1350
阳台房 - RM1100
普通房 - RM950
David Au REN71790
+60174282827
WhatsApp: +60174282827",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDUxNDdfMTc0NTkyMTQyOF81RWRnUHJvNV8xXzAucG5nIiwidmVyc2lvbiI6IjEiLCJlZGl0cyI6eyJyZXNpemUiOnsiZml0Ijoib3V0c2lkZSIsImhlaWdodCI6NzIwfSwiVEVQV2F0ZXJtYXJrIjp7Im9wdGlvbnMiOnsibmFtZSI6IkRBVklEIEFVICIsImdyYXZpdHkiOiJzb3V0aGVhc3QifX19fQ==,1.0,1.0,350.0,RM 3/sqft,2.0,,condominium,3.857142857142857
Arcoris SOHO,"Jalan Kiara 4, 50480, Kuala Lumpur, Mont Kiara, Kuala Lumpur",3800.0,Arcoris SOHO,"Arcoris Soho, Mont Kiara, Kuala Lumpur","Property Info:
Your Comfort Zone
-985sqft
-2 Bedrooms
-2 Bathrooms
-1 Study area
-Fully Furnished
-with Balcony
For Viewings and Enquiries, please call:
Wen Wen (REN52119)
+60166948883",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDIyMjBfMTY1ODYzNzU0N181RWRnUHJvNV9zY3JlZW5zaG90XzIwMjIwNTE2XzIyMDE0N19jb20ud2hhdHNhcHAudzRiX2VkaXRfNTQ3MDU1NTUxMTkxMDA0XzAuanBnIiwidmVyc2lvbiI6IjEiLCJlZGl0cyI6eyJyZXNpemUiOnsiZml0Ijoib3V0c2lkZSIsImhlaWdodCI6NzIwfSwiVEVQV2F0ZXJtYXJrIjp7Im9wdGlvbnMiOnsibmFtZSI6IldFTiBXRU4gVCIsImdyYXZpdHkiOiJzb3V0aGVhc3QifX19fQ==,2.0,2.0,985.0,RM 3/sqft,2.0,,condominium,3.8578680203045685
Arte Cheras @ Taman Midah,"Jalan Midah 2, 56000, Kuala Lumpur, Cheras, Kuala Lumpur",1800.0,Arte Cheras @ Taman Midah,"Arte Cheras @ Taman Midah, Cheras, Kuala Lumpur","Arte cheras Taman midah for rent
Furnishing 80% except tv and mattress
Ready to move in",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC9zdHlsZXNcLzEwNDUwXzE3NDg5ODg5ODRfNUVkZ1BybzVfMTA0NTBfMTcwMzM4MzEyM181ZWRncHJvNV8xNzAzMzgzMjkwNzc2XzAuanBnIiwidmVyc2lvbiI6IjEiLCJlZGl0cyI6eyJyZXNpemUiOnsiZml0Ijoib3V0c2lkZSIsImhlaWdodCI6NzIwfSwiVEVQV2F0ZXJtYXJrIjp7Im9wdGlvbnMiOnsibmFtZSI6IlJFSUlTIExBSSIsImdyYXZpdHkiOiJzb3V0aGVhc3QifX19fQ==,2.0,2.0,865.0,RM 2/sqft,2.0,non bumi lot,condominium,2.0809248554913293
BU3,"Jalan BU 3, Bandar Utama, Bandar Utama, Selangor",2700.0,"bandar utama BU 3, move in condition , near puay chai 2 new paint","Bu3, Bandar Utama, Selangor","-newly paint
-new kitchen top
-air con in 3 bedroom
-kitchen cabinet
-good condition
-kitchen extended
walking distance to sjkc puay chai 2",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC9zdHlsZXNcLzI3NDRfMTc0ODMyNzEwNl81RWRnUHJvNV8yNzQ0XzE3NDcyMjA3NDZfNWVkZ3BybzVfMTAwMDEzMjk0Ml8wLmpwZyIsInZlcnNpb24iOiIxIiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6Im91dHNpZGUiLCJoZWlnaHQiOjcyMH0sIlRFUFdhdGVybWFyayI6eyJvcHRpb25zIjp7Im5hbWUiOiIgICIsImdyYXZpdHkiOiJzb3V0aGVhc3QifX19fQ==,3.0,4.0,1800.0,RM 1/sqft,2.0,,terrace house,1.5
